"","X1","X1_1","year","region","department","department_name","origmun","origmun_name","gueratt","paratt","clashes","casualties","pop2018","lpop","cofint","oilprod88","coca94ind","coca94indxyear","lop","oilprod88xlop","linternalp","cofintxlinternalp","ltop3cof","rainfall","temperature","rxltop3cof","txltop3cof","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017","year_2018","region_1","region_2","region_3","region_4","year_2006_region_1","year_2007_region_1","year_2008_region_1","year_2009_region_1","year_2010_region_1","year_2011_region_1","year_2012_region_1","year_2013_region_1","year_2014_region_1","year_2015_region_1","year_2016_region_1","year_2017_region_1","year_2018_region_1","year_2006_region_2","year_2007_region_2","year_2008_region_2","year_2009_region_2","year_2010_region_2","year_2011_region_2","year_2012_region_2","year_2013_region_2","year_2014_region_2","year_2015_region_2","year_2016_region_2","year_2017_region_2","year_2018_region_2","year_2006_region_3","year_2007_region_3","year_2008_region_3","year_2009_region_3","year_2010_region_3","year_2011_region_3","year_2012_region_3","year_2013_region_3","year_2014_region_3","year_2015_region_3","year_2016_region_3","year_2017_region_3","year_2018_region_3","year_2006_region_4","year_2007_region_4","year_2008_region_4","year_2009_region_4","year_2010_region_4","year_2011_region_4","year_2012_region_4","year_2013_region_4","year_2014_region_4","year_2015_region_4","year_2016_region_4","year_2017_region_4","year_2018_region_4"
"21",21,21,2006,4,16,"Cauca department",19001,"Popayan",0,0,1,6,318059,5.502507689,2.947299957,0,0,0,5.255472669,0,5.668317409,16.70623166,4.36692737,1890,18.79999924,8253.492729,82.09823122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"22",22,22,2006,4,16,"Cauca department",19110,"Buenos Aires",0,0,1,7,31436,4.49742728,3.796099901,0,0,0,5.255472669,0,5.668317409,21.51749916,4.36692737,1823.5,20.39999962,7963.092058,89.08531667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"23",23,23,2006,4,16,"Cauca department",19256,"El Tambo",0,0,1,3,53891,4.731516242,6.565899849,0,0,0,5.255472669,0,5.668317409,37.21760442,4.36692737,2090,18.70000076,9126.878202,81.66154514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"24",24,24,2006,4,16,"Cauca department",19780,"Suarez",0,0,1,4,31904,4.503845137,0,0,0,0,5.255472669,0,5.668317409,0,4.36692737,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"25",25,25,2006,4,16,"Cauca department",19845,"Villa Rica",0,0,1,5,20693,4.315823458,0,0,0,0,5.255472669,0,5.668317409,0,4.36692737,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"26",26,26,2006,2,17,"Cesar department",20011,"Aguachica",0,0,1,2,109621,5.03989376,0.962400019,0.000649,0,0,5.255472669,0,5.668317409,5.455188783,4.36692737,2080,28.29999924,9083.208929,123.5840412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,27,2006,2,12,"C<f3>rdoba department",23466,"Montelibano",0,0,1,30,81641,4.911908316,0,0,0,0,5.255472669,0,5.668317409,0,4.36692737,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,28,2006,1,19,"Cundinamarca department",25535,"Pasca",0,0,1,4,9105,3.95927995,0,0,0,0,5.255472669,0,5.668317409,0,4.36692737,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,29,2006,1,25,"Nari<f1>o department",25612,"Ricaurte",0,0,1,13,12881,4.10994958,0,0,0,0,5.255472669,0,5.668317409,0,4.36692737,967,27.70000076,4222.818766,120.9638915,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,30,2006,4,18,"Choc<f3> department",27001,"Quibdo",0,0,1,3,129237,5.111386868,0,0,0,0,5.255472669,0,5.668317409,0,4.36692737,5075,26.89999962,22162.1564,117.4703446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
